experiment_name,configuration,model_label,model_name,model_source,task_name,parameters,embedding_parameters,notes,train_fraction,seed,epochs,batch_size,learning_rate,max_length,train_examples,validation_examples,training_time_seconds,gpu_memory_mb,loss,accuracy,runtime,samples_per_second,steps_per_second,epoch,f1
factorized_embeddings,standard_embeddings,ALBERT-standard-embeddings,from_config,from_config,sst2,31706882,23436288,Randomly initialized controlled architecture; not a pretrained checkpoint.,,,,,,,,,,,,,,,,,
factorized_embeddings,factorized_embeddings,ALBERT-factorized-embeddings,from_config,from_config,sst2,11685122,3906048,Randomly initialized controlled architecture; not a pretrained checkpoint.,,,,,,,,,,,,,,,,,
factorized_embeddings,standard_embeddings,ALBERT-standard-embeddings,from_config,from_config,sst2,31706882,23436288,Randomly initialized controlled architecture; not a pretrained checkpoint.,,,,,,,,,,,,,,,,,
factorized_embeddings,factorized_embeddings,ALBERT-factorized-embeddings,from_config,from_config,sst2,11685122,3906048,Randomly initialized controlled architecture; not a pretrained checkpoint.,,,,,,,,,,,,,,,,,
factorized_embeddings,standard_embeddings,ALBERT-standard-embeddings,from_config,from_config,sst2,31706882,23436288,Randomly initialized controlled architecture; not a pretrained checkpoint.,1.0,42.0,3.0,16.0,2e-05,128.0,67349.0,872.0,4503.441,2496.9,0.517204999923706,0.8245412844036697,7.1962,121.175,7.643,3.0,
factorized_embeddings,factorized_embeddings,ALBERT-factorized-embeddings,from_config,from_config,sst2,11685122,3906048,Randomly initialized controlled architecture; not a pretrained checkpoint.,1.0,42.0,3.0,16.0,2e-05,128.0,67349.0,872.0,4428.679,2259.598,0.4615027010440826,0.8130733944954128,7.1809,121.433,7.659,3.0,
factorized_embeddings,standard_embeddings,ALBERT-standard-embeddings,from_config,from_config,sst2,31706882,23436288,Randomly initialized controlled architecture; not a pretrained checkpoint.,,,,,,,,,,,,,,,,,
factorized_embeddings,factorized_embeddings,ALBERT-factorized-embeddings,from_config,from_config,sst2,11685122,3906048,Randomly initialized controlled architecture; not a pretrained checkpoint.,,,,,,,,,,,,,,,,,
factorized_embeddings,standard_embeddings,ALBERT-standard-embeddings,from_config,from_config,sst2,31706882,23436288,Randomly initialized controlled architecture; not a pretrained checkpoint.,,,,,,,,,,,,,,,,,
factorized_embeddings,factorized_embeddings,ALBERT-factorized-embeddings,from_config,from_config,sst2,11685122,3906048,Randomly initialized controlled architecture; not a pretrained checkpoint.,,,,,,,,,,,,,,,,,
factorized_embeddings,standard_embeddings,ALBERT-standard-embeddings,from_config,from_config,sst2,31706882,23436288,Randomly initialized controlled architecture; not a pretrained checkpoint.,,,,,,,,,,,,,,,,,
factorized_embeddings,factorized_embeddings,ALBERT-factorized-embeddings,from_config,from_config,sst2,11685122,3906048,Randomly initialized controlled architecture; not a pretrained checkpoint.,,,,,,,,,,,,,,,,,
factorized_embeddings,standard_embeddings_mrpc,ALBERT-standard-embeddings-mrpc,from_config,from_config,mrpc,31706882,23436288,Randomly initialized controlled architecture; not a pretrained checkpoint.,1.0,42.0,3.0,16.0,2e-05,128.0,3668.0,408.0,264.773,2496.9,0.6092193722724915,0.678921568627451,3.4871,117.002,7.456,3.0,0.8012139605462822
factorized_embeddings,factorized_embeddings_mrpc,ALBERT-factorized-embeddings-mrpc,from_config,from_config,mrpc,11685122,3906048,Randomly initialized controlled architecture; not a pretrained checkpoint.,1.0,42.0,3.0,16.0,2e-05,128.0,3668.0,408.0,263.204,2259.598,0.6207388043403625,0.6838235294117647,3.4575,118.003,7.52,3.0,0.8122270742358079
embedding_sweep,sweep_e64_sst2,ALBERT-sweep-e64,from_config,from_config,sst2,9682946,1953024,Randomly initialized controlled architecture; not a pretrained checkpoint.,0.2,42.0,3.0,16.0,2e-05,128.0,13469.0,872.0,897.553,2229.03,0.55631023645401,0.731651376146789,7.1743,121.544,7.666,3.0,
embedding_sweep,sweep_e128_sst2,ALBERT-sweep-e128,from_config,from_config,sst2,11685122,3906048,Randomly initialized controlled architecture; not a pretrained checkpoint.,0.2,42.0,3.0,16.0,2e-05,128.0,13469.0,872.0,910.334,2258.473,0.5287902355194092,0.7419724770642202,7.1751,121.531,7.665,3.0,
embedding_sweep,sweep_e768_sst2,ALBERT-sweep-e768,from_config,from_config,sst2,31706882,23436288,Randomly initialized controlled architecture; not a pretrained checkpoint.,0.2,42.0,3.0,16.0,2e-05,128.0,13469.0,872.0,928.786,2497.15,0.500245988368988,0.7775229357798165,7.1726,121.573,7.668,3.0,
factorized_embeddings,standard_embeddings,ALBERT-standard-embeddings,from_config,from_config,sst2,31706882,23436288,Randomly initialized controlled architecture; not a pretrained checkpoint.,,,,,,,,,,,,,,,,,
factorized_embeddings,factorized_embeddings,ALBERT-factorized-embeddings,from_config,from_config,sst2,11685122,3906048,Randomly initialized controlled architecture; not a pretrained checkpoint.,,,,,,,,,,,,,,,,,
