experiment_name,configuration,model_label,model_name,model_source,task_name,hf_task_name,train_split,validation_split,train_fraction,max_train_samples,max_eval_samples,seed,epochs,batch_size,eval_batch_size,learning_rate,weight_decay,warmup_ratio,gradient_accumulation_steps,max_length,train_examples,validation_examples,parameters,embedding_parameters,training_time_seconds,gpu_memory_mb,notes,loss,accuracy,runtime,samples_per_second,steps_per_second,epoch,f1
low_data_extension,BERT-base_sst2_10pct,BERT-base,bert-base-uncased,pretrained,sst2,sst2,train,validation,0.1,,,42,3.0,16,16,2e-05,0.0,0.0,1,128,6734,872,109483778,23837184,119.83,2526.109,,0.4035109877586365,0.9036697247706422,1.574,554.015,34.944,3.0,
low_data_extension,BERT-base_sst2_25pct,BERT-base,bert-base-uncased,pretrained,sst2,sst2,train,validation,0.25,,,42,3.0,16,16,2e-05,0.0,0.0,1,128,16837,872,109483778,23837184,292.487,2528.359,,0.4551853835582733,0.9105504587155964,1.5833,550.761,34.738,3.0,
low_data_extension,BERT-base_sst2_50pct,BERT-base,bert-base-uncased,pretrained,sst2,sst2,train,validation,0.5,,,42,3.0,16,16,2e-05,0.0,0.0,1,128,33674,872,109483778,23837184,579.5,2532.609,,0.3592601120471954,0.926605504587156,1.5748,553.737,34.926,3.0,
low_data_extension,BERT-base_mrpc_10pct,BERT-base,bert-base-uncased,pretrained,mrpc,mrpc,train,validation,0.1,,,42,3.0,16,16,2e-05,0.0,0.0,1,128,366,408,109483778,23837184,8.714,2534.609,,0.5722671747207642,0.7254901960784313,0.7406,550.932,35.108,3.0,0.8181818181818182
low_data_extension,BERT-base_mrpc_25pct,BERT-base,bert-base-uncased,pretrained,mrpc,mrpc,train,validation,0.25,,,42,3.0,16,16,2e-05,0.0,0.0,1,128,917,408,109483778,23837184,18.214,2533.109,,0.5072808861732483,0.7696078431372549,0.7413,550.387,35.074,3.0,0.8464052287581699
low_data_extension,BERT-base_mrpc_50pct,BERT-base,bert-base-uncased,pretrained,mrpc,mrpc,train,validation,0.5,,,42,3.0,16,16,2e-05,0.0,0.0,1,128,1834,408,109483778,23837184,33.898,2535.359,,0.4646114408969879,0.8088235294117647,0.7393,551.866,35.168,3.0,0.8691275167785235
low_data_extension,BERT-base_rte_10pct,BERT-base,bert-base-uncased,pretrained,rte,rte,train,validation,0.1,,,42,3.0,16,16,2e-05,0.0,0.0,1,128,249,277,109483778,23837184,6.831,2538.109,,0.6916341781616211,0.555956678700361,0.5032,550.505,35.773,3.0,
low_data_extension,BERT-base_rte_25pct,BERT-base,bert-base-uncased,pretrained,rte,rte,train,validation,0.25,,,42,3.0,16,16,2e-05,0.0,0.0,1,128,622,277,109483778,23837184,12.402,2538.359,,0.6864816546440125,0.5487364620938628,0.5027,551.067,35.809,3.0,
low_data_extension,BERT-base_rte_50pct,BERT-base,bert-base-uncased,pretrained,rte,rte,train,validation,0.5,,,42,3.0,16,16,2e-05,0.0,0.0,1,128,1245,277,109483778,23837184,23.156,2540.859,,0.7036074995994568,0.6137184115523465,0.5027,551.077,35.81,3.0,
low_data_extension,BERT-base_mnli_10pct,BERT-base,bert-base-uncased,pretrained,mnli,mnli,train,validation_matched,0.1,,,42,3.0,16,16,2e-05,0.0,0.0,1,128,39270,9815,109484547,23837184,726.488,2540.871,,0.7171905636787415,0.7853285787060621,17.7301,553.579,34.63,3.0,
low_data_extension,BERT-base_mnli_25pct,BERT-base,bert-base-uncased,pretrained,mnli,mnli,train,validation_matched,0.25,,,42,3.0,16,16,2e-05,0.0,0.0,1,128,98175,9815,109484547,23837184,1738.087,2543.371,,0.6758396625518799,0.808762098828324,17.7563,552.761,34.579,3.0,
low_data_extension,BERT-base_mnli_50pct,BERT-base,bert-base-uncased,pretrained,mnli,mnli,train,validation_matched,0.5,,,42,3.0,16,16,2e-05,0.0,0.0,1,128,196351,9815,109484547,23837184,3421.716,2546.121,,0.6043097972869873,0.8290371879775853,17.7293,553.603,34.632,3.0,
low_data_extension,ALBERT-base_sst2_10pct,ALBERT-base,albert-base-v2,pretrained,sst2,sst2,train,validation,0.1,,,42,3.0,16,16,2e-05,0.0,0.0,1,128,6734,872,11685122,3906048,134.562,2234.996,,0.4681641459465027,0.9002293577981652,2.0232,430.991,27.184,3.0,
low_data_extension,ALBERT-base_sst2_25pct,ALBERT-base,albert-base-v2,pretrained,sst2,sst2,train,validation,0.25,,,42,3.0,16,16,2e-05,0.0,0.0,1,128,16837,872,11685122,3906048,326.976,2234.996,,0.4365316033363342,0.9071100917431192,2.0327,428.988,27.058,3.0,
low_data_extension,ALBERT-base_sst2_50pct,ALBERT-base,albert-base-v2,pretrained,sst2,sst2,train,validation,0.5,,,42,3.0,16,16,2e-05,0.0,0.0,1,128,33674,872,11685122,3906048,648.725,2234.996,,0.410940945148468,0.9185779816513762,2.034,428.715,27.041,3.0,
low_data_extension,ALBERT-base_mrpc_10pct,ALBERT-base,albert-base-v2,pretrained,mrpc,mrpc,train,validation,0.1,,,42,3.0,16,16,2e-05,0.0,0.0,1,128,366,408,11685122,3906048,10.122,2234.996,,0.5380141139030457,0.7549019607843137,0.9545,427.432,27.238,3.0,0.8417721518987342
low_data_extension,ALBERT-base_mrpc_25pct,ALBERT-base,albert-base-v2,pretrained,mrpc,mrpc,train,validation,0.25,,,42,3.0,16,16,2e-05,0.0,0.0,1,128,917,408,11685122,3906048,20.74,2234.996,,0.4514677822589874,0.803921568627451,0.9586,425.632,27.124,3.0,0.8571428571428571
low_data_extension,ALBERT-base_mrpc_50pct,ALBERT-base,albert-base-v2,pretrained,mrpc,mrpc,train,validation,0.5,,,42,3.0,16,16,2e-05,0.0,0.0,1,128,1834,408,11685122,3906048,38.378,2234.996,,0.3207774460315704,0.8602941176470589,0.9536,427.839,27.264,3.0,0.8983957219251337
low_data_extension,ALBERT-base_rte_10pct,ALBERT-base,albert-base-v2,pretrained,rte,rte,train,validation,0.1,,,42,3.0,16,16,2e-05,0.0,0.0,1,128,249,277,11685122,3906048,6.989,2234.996,,0.6903378367424011,0.5631768953068592,0.6498,426.311,27.703,3.0,
