experiment_name,configuration,model_label,model_name,model_source,task_name,train_fraction,seed,epochs,batch_size,learning_rate,max_length,train_examples,validation_examples,parameters,embedding_parameters,training_time_seconds,gpu_memory_mb,notes,loss,accuracy,runtime,samples_per_second,steps_per_second,epoch,f1
parameter_sharing,no_sharing,ALBERT-no-sharing,from_config,from_config,sst2,1.0,42.0,3.0,16.0,2e-05,128.0,67349.0,872.0,89651714,3906048,1601.804,3155.749,Randomly initialized controlled architecture; not a pretrained checkpoint.,0.4582947790622711,0.8222477064220184,2.2227,392.32,24.745,3.0,
parameter_sharing,shared_attention,ALBERT-shared-attention,from_config,from_config,sst2,1.0,42.0,3.0,16.0,2e-05,128.0,67349.0,872.0,63648770,3906048,1565.14,2862.716,Randomly initialized controlled architecture; not a pretrained checkpoint.,0.4565598964691162,0.8119266055045872,2.2127,394.088,24.856,3.0,
parameter_sharing,shared_ffn,ALBERT-shared-ffn,from_config,from_config,sst2,1.0,42.0,3.0,16.0,2e-05,128.0,67349.0,872.0,37704962,3906048,1547.093,2571.867,Randomly initialized controlled architecture; not a pretrained checkpoint.,0.4763188362121582,0.8142201834862385,2.221,392.622,24.764,3.0,
parameter_sharing,full_sharing,ALBERT-full-sharing,from_config,from_config,sst2,1.0,42.0,3.0,16.0,2e-05,128.0,67349.0,872.0,11685122,3906048,1499.436,2267.742,Randomly initialized controlled architecture; not a pretrained checkpoint.,0.4470695853233337,0.8222477064220184,2.2336,390.407,24.624,3.0,
parameter_sharing_mrpc,no_sharing_mrpc,ALBERT-no-sharing,from_config,from_config,mrpc,1.0,42.0,3.0,16.0,2e-05,128.0,3668.0,408.0,89651714,3906048,92.727,3155.749,Randomly initialized controlled architecture; not a pretrained checkpoint.,0.6031787395477295,0.6838235294117647,1.0564,386.225,24.612,3.0,0.8018433179723502
parameter_sharing_mrpc,shared_attention_mrpc,ALBERT-shared-attention,from_config,from_config,mrpc,1.0,42.0,3.0,16.0,2e-05,128.0,3668.0,408.0,63648770,3906048,88.921,2862.716,Randomly initialized controlled architecture; not a pretrained checkpoint.,0.6160048842430115,0.6764705882352942,1.0637,383.555,24.442,3.0,0.8
parameter_sharing_mrpc,shared_ffn_mrpc,ALBERT-shared-ffn,from_config,from_config,mrpc,1.0,42.0,3.0,16.0,2e-05,128.0,3668.0,408.0,37704962,3906048,87.934,2571.867,Randomly initialized controlled architecture; not a pretrained checkpoint.,0.6111970543861389,0.6838235294117647,1.0596,385.065,24.538,3.0,0.8122270742358079
parameter_sharing_mrpc,full_sharing_mrpc,ALBERT-full-sharing,from_config,from_config,mrpc,1.0,42.0,3.0,16.0,2e-05,128.0,3668.0,408.0,11685122,3906048,85.409,2267.742,Randomly initialized controlled architecture; not a pretrained checkpoint.,0.6238856315612793,0.6838235294117647,1.0451,390.396,24.878,3.0,0.8122270742358079
parameter_sharing,lower_half_sharing,ALBERT-Lower-Half-Sharing,from_config,from_config,sst2,1.0,42.0,3.0,16.0,2e-05,128.0,67349.0,872.0,54220034,3906048,1543.205,2755.617,Randomly initialized controlled architecture; not a pretrained checkpoint.,0.4520330131053924,0.8188073394495413,2.1941,397.421,25.067,3.0,
parameter_sharing,upper_half_sharing,ALBERT-Upper-Half-Sharing,from_config,from_config,sst2,1.0,42.0,3.0,16.0,2e-05,128.0,67349.0,872.0,54220034,3906048,1547.19,2757.867,Randomly initialized controlled architecture; not a pretrained checkpoint.,0.4619307219982147,0.819954128440367,2.1941,397.429,25.067,3.0,
parameter_sharing_mrpc,lower_half_sharing_mrpc,ALBERT-lower-half-sharing,from_config,from_config,mrpc,1.0,42.0,3.0,16.0,2e-05,128.0,3668.0,408.0,54220034,3906048,87.727,2755.617,Randomly initialized controlled architecture; not a pretrained checkpoint.,0.6149705052375793,0.6740196078431373,1.0251,398.01,25.363,3.0,0.7969465648854962
parameter_sharing_mrpc,upper_half_sharing_mrpc,ALBERT-upper-half-sharing,from_config,from_config,mrpc,1.0,42.0,3.0,16.0,2e-05,128.0,3668.0,408.0,54220034,3906048,87.182,2757.867,Randomly initialized controlled architecture; not a pretrained checkpoint.,0.6231793761253357,0.6838235294117647,1.0273,397.157,25.309,3.0,0.8122270742358079
